"","decreased","parameter","mean","sd","median","skew"
"1","Did not reproduce","target1",0.396102726774398,0.128093322996963,0.408056579181736,-0.175308050871282
"2","Did not reproduce","target2",0.457820076907713,0.121604246776996,0.461340581049678,-0.169782297021599
"3","Did not reproduce","target3",0.350561040443837,0.128723017111601,0.359152007685875,-0.172830863279812
"4","Did not reproduce","target4",0.499800803560101,0.122108141507301,0.504526414560256,-0.17790037695457
"5","Did not reproduce","thetaToken",0.19647626042238,0.0887762591196876,0.169557088167684,1.01284907393047
"6","Did not reproduce","thetaType",0.267527249225591,0.112724862706734,0.250023786351085,0.325668043771773
"7","Did not reproduce","tokensd",0.0105153951381363,0.00420719057894507,0.0113036191321832,-0.448796120511728
"8","Did not reproduce","typesd",0.0630923708288179,0.0252431434736704,0.0678217147930991,-0.448796120511728
"9","Reproduced","target1",0.355224125273296,0.114198119345815,0.346850225444968,0.208433120145137
"10","Reproduced","target2",0.373487431571844,0.111407713910799,0.364329353770988,0.20697568971793
"11","Reproduced","target3",0.319276434551378,0.118324565957575,0.309342895238903,0.184900863694224
"12","Reproduced","target4",0.414952860720408,0.11420654567166,0.403719051510269,0.255322110724998
"13","Reproduced","thetaToken",0.206606340583762,0.088100913225181,0.184631109122464,0.859145336156775
"14","Reproduced","thetaType",0.341822907510346,0.107190841706174,0.353700365172699,-0.35628488871534
"15","Reproduced","tokensd",0.00726458787701618,0.0037133023275227,0.00666600837003595,0.520587970672261
"16","Reproduced","typesd",0.0435875272620971,0.0222798139651362,0.0399960502202157,0.520587970672261
